Region_ID,State,Soil_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Season,Suggested_Crop,Expected_Yield,Year
R0001,Andhra Pradesh,Sandy,5.52,48,33,34,38.7,78,1897,Zaid,Cotton,5.18,2021
R0002,Andhra Pradesh,Sandy,8.26,45,45,177,35.5,81,303,Rabi,Soybean,1.5,2019
R0003,Kerala,Black,5.85,133,54,111,25.2,44,694,Zaid,Groundnut,4.3,2020
R0004,Tamil Nadu,Red,8.44,61,22,177,37.4,50,814,Rabi,Rice,3.43,2019
R0005,Karnataka,Sandy,6.63,123,76,146,39.9,58,1375,Zaid,Wheat,4.02,2021
R0006,Kerala,Sandy,5.99,40,67,22,30.3,46,600,Kharif,Wheat,2.79,2021
R0007,Odisha,Black,8.06,39,55,114,35.2,87,625,Rabi,Barley,4.9,2023
R0008,Punjab,Red,7.24,59,9,168,30.2,33,582,Kharif,Maize,4.4,2020
R0009,Odisha,Loamy,6.22,133,17,75,32,54,595,Zaid,Wheat,2.38,2022
R0010,Andhra Pradesh,Red,5.93,82,73,76,38.3,52,1124,Zaid,Millet,2.36,2019
R0011,Kerala,Red,7.12,90,48,10,33.3,36,1180,Rabi,Rice,4.92,2019
R0012,Karnataka,Loamy,7.24,20,71,155,38.6,47,949,Zaid,Millet,2.82,2021
R0013,Punjab,Sandy,6.02,31,10,91,36.2,67,780,Kharif,Wheat,5.99,2024
R0014,Andhra Pradesh,Red,8.42,52,36,136,30.4,37,665,Zaid,Pulses,4.37,2024
R0015,Gujarat,Loamy,7.59,103,71,96,30.3,33,499,Kharif,Soybean,1.52,2019
R0016,Andhra Pradesh,Red,7.96,43,5,37,17.6,40,1322,Kharif,Millet,2.6,2021
R0017,Odisha,Clay,6.34,94,44,132,27.4,38,1406,Zaid,Rice,1.98,2020
R0018,Tamil Nadu,Sandy,7.72,88,50,196,28,66,1179,Rabi,Cotton,3.33,2018
R0019,Bihar,Red,7.85,78,22,187,21.1,59,1221,Rabi,Pulses,3.41,2021
R0020,Odisha,Loamy,8.44,60,19,194,19.4,31,547,Zaid,Maize,4.79,2019
R0021,Punjab,Black,5.59,67,18,138,32.6,78,822,Zaid,Soybean,2.73,2023
R0022,Karnataka,Black,7.06,138,52,174,20.3,58,648,Rabi,Barley,5.64,2019
R0023,Bihar,Loamy,6.44,126,59,155,31.6,41,340,Rabi,Barley,5.47,2018
R0024,Andhra Pradesh,Sandy,7.1,13,29,143,15.5,76,597,Rabi,Maize,2.83,2018
R0025,Punjab,Sandy,8.34,79,78,151,17.1,66,1603,Rabi,Rice,5.2,2024
R0026,Maharashtra,Loamy,6.27,42,75,56,33.1,34,1448,Zaid,Sugarcane,4.26,2024
R0027,Odisha,Red,7.38,135,40,186,37.6,32,448,Zaid,Cotton,5.74,2019
R0028,Maharashtra,Clay,7.64,109,69,199,35.8,57,514,Zaid,Sugarcane,5.21,2023
R0029,Maharashtra,Loamy,5.64,142,39,102,34.2,53,318,Zaid,Wheat,1.85,2022
R0030,Odisha,Clay,5.85,23,47,146,37.5,41,1651,Kharif,Barley,5.69,2018
R0031,Bihar,Sandy,6.37,81,29,115,17.2,77,917,Rabi,Sugarcane,1.54,2022
R0032,Maharashtra,Loamy,5.76,124,46,34,33.5,84,950,Zaid,Millet,2.74,2024
R0033,Odisha,Black,6.88,12,11,100,30.2,86,1573,Zaid,Barley,1.73,2018
R0034,Maharashtra,Black,6.48,12,57,121,20.4,81,1335,Zaid,Cotton,4.39,2024
R0035,Gujarat,Clay,7.16,106,60,196,22.7,84,1941,Kharif,Barley,2.27,2023
R0036,Andhra Pradesh,Black,7.67,23,76,184,23.9,44,1832,Rabi,Pulses,3.04,2020
R0037,Kerala,Clay,6.03,25,62,122,16.9,35,1057,Zaid,Rice,1.77,2020
R0038,Bihar,Clay,5.85,63,76,131,20,74,1205,Kharif,Millet,4.36,2023
R0039,Bihar,Black,7.85,131,14,100,39.1,72,1752,Rabi,Groundnut,1.98,2018
R0040,Maharashtra,Black,6.88,16,71,168,24.4,33,322,Zaid,Millet,4.92,2023
R0041,Maharashtra,Red,8.47,78,8,16,15.3,46,377,Kharif,Wheat,1.56,2021
R0042,Bihar,Loamy,5.71,49,39,190,27.4,57,313,Rabi,Maize,5.21,2021
R0043,Punjab,Red,7.73,101,44,80,18.9,58,1493,Rabi,Barley,4.21,2020
R0044,Odisha,Red,7.33,68,26,85,29.2,67,1830,Rabi,Groundnut,5.51,2021
R0045,Andhra Pradesh,Red,7.09,45,18,27,18.3,75,432,Kharif,Rice,1.94,2024
R0046,Bihar,Clay,8.08,82,71,67,28.1,31,1172,Zaid,Maize,2.33,2020
R0047,Karnataka,Black,7.1,39,56,76,23.8,30,342,Zaid,Rice,2.37,2020
R0048,Tamil Nadu,Red,5.52,54,16,50,16.1,52,440,Rabi,Maize,1.91,2020
R0049,Karnataka,Red,7.62,133,49,32,38.9,37,1320,Zaid,Soybean,2.97,2023
R0050,Kerala,Sandy,6.87,62,31,25,25.6,57,709,Rabi,Barley,4.63,2023
R0051,Karnataka,Clay,6.62,64,56,26,30.4,78,1183,Kharif,Rice,5.11,2023
R0052,Punjab,Loamy,7.44,96,70,124,16.1,41,321,Zaid,Maize,4.68,2022
R0053,Andhra Pradesh,Sandy,7.5,108,60,141,22.1,53,1887,Kharif,Wheat,3.13,2021
R0054,Gujarat,Black,6.46,17,37,59,23.9,34,913,Kharif,Cotton,1.64,2018
R0055,Andhra Pradesh,Clay,6.78,70,65,18,18,33,1404,Zaid,Millet,3.9,2021
R0056,Odisha,Loamy,5.56,147,15,71,39.8,40,1998,Zaid,Groundnut,4.87,2024
R0057,Kerala,Clay,6.38,53,34,60,29.5,74,1586,Zaid,Wheat,3.08,2018
R0058,Karnataka,Clay,5.61,83,57,198,27.2,39,553,Rabi,Wheat,1.53,2021
R0059,Odisha,Black,7.95,79,28,164,38.8,39,1554,Rabi,Maize,4.51,2020
R0060,Kerala,Clay,8.24,125,20,143,17.2,49,1222,Zaid,Maize,5.74,2023
R0061,Andhra Pradesh,Red,7.39,142,5,58,20.6,51,1449,Zaid,Millet,5.52,2018
R0062,Odisha,Clay,6.81,107,8,62,26.9,81,1968,Kharif,Pulses,2.33,2019
R0063,Kerala,Sandy,6.08,130,44,95,38.4,44,1651,Zaid,Cotton,3.51,2024
R0064,Tamil Nadu,Loamy,8.5,110,75,13,15,69,1512,Rabi,Rice,2.69,2023
R0065,Kerala,Red,7.68,130,61,186,36.6,73,1132,Zaid,Sugarcane,5,2024
R0066,Gujarat,Sandy,5.79,22,65,38,28.8,62,1635,Zaid,Soybean,4.53,2020
R0067,Punjab,Loamy,7.92,46,63,77,39,30,739,Zaid,Wheat,2.95,2022
R0068,Andhra Pradesh,Black,7.58,146,30,180,16.2,48,322,Rabi,Millet,3.86,2020
R0069,Odisha,Black,5.6,17,74,61,36.8,40,881,Kharif,Soybean,5.24,2022
R0070,Andhra Pradesh,Clay,8.08,39,46,171,26.6,74,1924,Rabi,Barley,4.08,2019
R0071,Odisha,Clay,8.09,10,27,102,33.3,43,827,Rabi,Cotton,1.67,2023
